
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
27-Feb-2015,21:06,21:37,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,5.10,""
27-Feb-2015,17:48,18:14,"Canary Wharf [London Underground] to Oxford Circus",.00,,5.10,""
27-Feb-2015,07:12,08:09,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
25-Feb-2015,17:17,18:03,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
25-Feb-2015,07:13,08:02,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
24-Feb-2015,17:30,18:08,"Warren Street to Richmond",.00,,5.10,""
24-Feb-2015,08:06,09:03,"Richmond to Warren Street",.00,,5.10,""
23-Feb-2015,17:28,18:08,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
23-Feb-2015,11:59,12:22,"Warren Street to Canary Wharf [London Underground]",.00,,5.10,""
23-Feb-2015,07:13,07:58,"Richmond to Warren Street",.00,,5.10,""
23-Feb-2015,07:13,,"Season ticket bought",.00,,5.10,""
