
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
18-Oct-2014,22:43,23:21,"Warren Street to Richmond",.00,,11.20,""
18-Oct-2014,19:27,,"Bus journey, route 91",.00,,11.20,""
18-Oct-2014,16:24,17:14,"Richmond to Caledonian Road and Barnsbury",.00,,11.20,""
17-Oct-2014,22:37,23:29,"West Hampstead [London Underground] to Richmond",.00,,11.20,""
17-Oct-2014,18:16,18:45,"Canary Wharf [London Underground] to West Hampstead [London Underground]",.00,,11.20,""
17-Oct-2014,07:22,08:06,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
16-Oct-2014,18:18,18:53,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
16-Oct-2014,07:15,08:06,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
15-Oct-2014,17:26,18:08,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
15-Oct-2014,07:18,08:03,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
15-Oct-2014,07:17,,"Season ticket bought",.00,,11.20,""
14-Oct-2014,18:21,19:04,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
14-Oct-2014,07:20,08:06,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
13-Oct-2014,18:19,19:05,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
13-Oct-2014,07:16,08:12,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
