"station","long","lat"
"Canada Water",-0.05,51.498333
"London Waterloo East",-0.111,51.5037
"Stratford",-0.0033,51.5422
"Abbey Wood",0.1229,51.4915
"Acton Central",-0.2634,51.5088
"Acton Main Line",-0.2669,51.5169
"Albany Park",0.1266,51.4358
"Aldgate East",-0.0722,51.5152
"Aldgate",-0.076,51.514
"Alexandra Palace",-0.1197,51.5983
"Amersham",-0.6088,51.6747
"Anerley",-0.0651,51.4125
"Angel Road",-0.0495,51.6118
"Aylesbury",-0.815102,51.813903
"Baker Street",-0.157,51.522
"Balham",-0.152,51.4426
"Bank",-0.088,51.513
"Banstead",-0.2132,51.3292
"Barbican",-0.0977,51.5202
"Barking",0.0817,51.5393
"Barnehurst",0.1595,51.4648
"Barnes",-0.242,51.4671
"Barnes Bridge",-0.2523,51.4722
"Battersea Park",-0.1477,51.4779
"Bayswater",-0.188,51.512
"Beckenham Hill",-0.0161,51.4246
"Beckenham Junction",-0.0257,51.4109
"Bellingham",-0.0199,51.4342
"Belmont",-0.1986,51.344
"Belvedere",0.1524,51.4927
"Bermondsey",-0.0639,51.4981
"Berrylands",-0.2803,51.3988
"Bethnal Green",-0.0595,51.523
"Bexley",0.1479,51.4403
"Bexleyheath",0.1338,51.4635
"Bickley",0.0441,51.3995
"Birkbeck",-0.0568,51.4039
"Blackfriars",-0.103,51.5116
"BlackfriarsLondon",-0.103,51.5116
"Blackheath",0.0064,51.4663
"Blackhorse Road",-0.0416,51.5866
"Bond Street",-0.15,51.514
"Bow Road",-0.02472,51.52722
"Bowes Park",-0.1209,51.6078
"Brentford",-0.3096,51.4875
"Brentwood",0.3001,51.6137
"Brill",-1.0482,51.8323
"Brimsdown",-0.0301,51.6556
"Brixton",-0.1132,51.4629
"Brockley",-0.0369,51.4645
"Bromley North",0.0179,51.4088
"Bromley South",0.0181,51.4004
"Bromley-by-Bow",-0.0113,51.524
"Brondesbury",-0.202,51.5451
"Brondesbury Park",-0.2103,51.5407
"Broxbourne",-0.0094,51.7483
"Bruce Grove",-0.0704,51.594
"Bush Hill Park",-0.0691,51.6418
"Bushey",-0.385,51.644
"Caledonian Road and Barnsbury",-0.1145,51.5432
"Cambridge Heath",-0.0572,51.5321
"Camden Road",-0.1401,51.5444
"Canary Wharf",-0.01861,51.50361
"Canning Town",0.0083,51.514
"Cannon Street",-0.0907,51.5104
"Cannon StreetLondon",-0.0912,51.5101
"Canonbury",-0.0925,51.5482
"Canons Park",-0.2947,51.6078
"Carpenders Park",-0.386,51.629
"Carshalton",-0.1659,51.3686
"Carshalton Beeches",-0.1714,51.3577
"Cassiobridge",-0.424283,51.650993
"Castle Bar Park",-0.3323,51.5228
"Caterham",-0.0783,51.28214
"Catford",-0.0261,51.4447
"Catford Bridge",-0.025,51.4446
"Chadwell Heath",0.1292,51.5678
"Chafford Hundred",0.2876,51.4859
"Chalfont & Latimer",-0.561,51.6679
"Charing Cross",-0.125,51.508
"Charing CrossLondon",-0.1231,51.5075
"Charlton",0.031,51.4868
"Cheam",-0.2147,51.356
"Chelsfield",0.1076,51.3565
"Chesham",-0.6113,51.7052
"Cheshunt",-0.0221,51.7039
"Chessington North",-0.3005,51.3642
"Chessington South",-0.308,51.3569
"Chingford",0.0094,51.6331
"Chipstead",-0.1693,51.3093
"Chislehurst",0.0573,51.4057
"Chiswick",-0.2683,51.4813
"Chorleywood",-0.5183,51.6541
"City Thameslink",-0.1037,51.5163
"City ThameslinkLondon",-0.1037,51.5163
"Clapham High Street",-0.1328,51.4658
"Clapham Junction",-0.1703,51.4644
"Clapton",-0.0571,51.5617
"Clock House",-0.0411,51.4088
"Coulsdon South",-0.138,51.3157
"Coulsdon Town",-0.134,51.3219
"Crayford",0.1786,51.4483
"Crews Hill",-0.1072,51.6845
"Cricklewood",-0.2129,51.5586
"Crofton Park",-0.0367,51.455
"Crouch Hill",-0.1171,51.572
"Croxley",-0.4413,51.6475
"Crystal Palace",-0.0726,51.4182
"Dagenham Dock",0.145,51.5268
"Dalston Junction",-0.0747,51.5453
"Dalston Kingsland",-0.0763,51.5482
"Dartford",0.2193,51.4475
"Denmark Hill",-0.0894,51.4683
"Deptford",-0.0265,51.4788
"Dollis Hill",-0.2386,51.5519
"Drayton Green",-0.33,51.5165
"Drayton Park",-0.1055,51.5528
"Ealing Broadway",-0.3017,51.5147
"Earlsfield",-0.1877,51.4424
"East Croydon",-0.0923,51.3752
