
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
19-Mar-2016,22:23,23:18,"Highbury & Islington to Richmond",1.50,,10.00,""
19-Mar-2016,18:41,19:26,"Richmond to Highbury & Islington",4.30,,11.50,""
19-Mar-2016,14:30,15:23,"Tower Hill to Richmond",2.80,,15.80,""
18-Mar-2016,01:07,,"Bus journey, route N205",1.50,,18.60,""
18-Mar-2016,20:48,20:55,"Mile End to Leyton",1.50,,20.10,""
18-Mar-2016,20:47,,"Topped up, Mile End",,20.00,21.60,""
18-Mar-2016,08:12,08:41,"Richmond to South Kensington",3.90,,1.60,""
17-Mar-2016,07:20,08:17,"Whitechapel to Richmond",3.90,,5.50,""
16-Mar-2016,15:32,15:59,"Holborn to Whitechapel",2.40,,9.40,""
16-Mar-2016,15:03,15:18,"South Kensington to Covent Garden",2.40,,11.80,""
16-Mar-2016,10:52,11:30,"Richmond to South Kensington",2.80,,14.20,""
15-Mar-2016,20:12,20:42,"South Kensington to Richmond",2.80,,17.00,""
15-Mar-2016,20:11,,"Topped up, South Kensington",,20.00,19.80,""
14-Mar-2016,21:50,22:24,"Gloucester Road to Richmond",2.80,,-0.20,""
14-Mar-2016,07:56,08:27,"Whitechapel to South Kensington",2.90,,2.60,""
